received,dev_id,dev_eui,gtw_id,counter,frequency,data_rate,coding_rate,rssi,snr,battery
2019-04-02T21:11:49.449282449Z,static_6_01,70B3D5499A33FCC9,iotlab-rpi-03,49,868.5,SF8BW125,4/5,-53,8.75,4.1739999999999995
2019-04-02T21:11:49.461333Z,static_6_01,70B3D5499A33FCC9,eui-0000024b08030186,49,868.5,SF8BW125,4/5,-103,-9.5,4.1739999999999995
2019-04-02T21:12:04.641317Z,static_7_01,70B3D5499B418279,eui-0000024b08030186,53,867.3,SF8BW125,4/5,-95,10.5,4.164
2019-04-02T21:12:04.637763637Z,static_7_01,70B3D5499B418279,iotlab-rpi-03,53,867.3,SF8BW125,4/5,-59,11.25,4.164
2019-04-02T21:15:40.341273Z,static_6_03,70B3D549972EC2DC,eui-0000024b08030186,49,868.3,SF8BW125,4/5,-97,11,4.1240000000000006
2019-04-02T21:15:40.338852338Z,static_6_03,70B3D549972EC2DC,iotlab-rpi-03,49,868.3,SF8BW125,4/5,-59,11.25,4.1240000000000006
2019-04-02T21:18:13.945569Z,static_6_02,70B3D54993EAD469,eui-0000024b08030186,67,867.5,SF8BW125,4/5,-104,1.8,4.18
2019-04-02T21:18:13.934219934Z,static_6_02,70B3D54993EAD469,iotlab-rpi-03,67,867.5,SF8BW125,4/5,-81,7.5,4.18
2019-04-02T21:21:55.539148Z,static_6_01,70B3D5499A33FCC9,eui-0000024b08030186,50,868.1,SF7BW125,4/5,-105,8.8,4.17
2019-04-02T21:21:55.532442532Z,static_6_01,70B3D5499A33FCC9,iotlab-rpi-03,50,868.1,SF7BW125,4/5,-55,9.25,4.17
2019-04-02T21:22:10.780005Z,static_7_01,70B3D5499B418279,eui-0000024b08030186,54,868.5,SF7BW125,4/5,-97,7.5,4.164
2019-04-02T21:22:10.774403774Z,static_7_01,70B3D5499B418279,iotlab-rpi-03,54,868.5,SF7BW125,4/5,-63,7.25,4.164
2019-04-02T21:24:48.898388Z,mobile-03,70B3D5499023C3A9,eui-0000024b08030186,2068,867.3,SF7BW125,4/5,-89,10.2,
2019-04-02T21:24:48.894561894Z,mobile-03,70B3D5499023C3A9,iotlab-rpi-03,2068,867.3,SF7BW125,4/5,-29,9.5,
2019-04-02T21:25:46.323891323Z,static_6_03,70B3D549972EC2DC,iotlab-rpi-03,50,867.1,SF7BW125,4/5,-61,8.5,4.1240000000000006
2019-04-02T21:25:46.334055Z,static_6_03,70B3D549972EC2DC,eui-0000024b08030186,50,867.1,SF7BW125,4/5,-95,8.5,4.1240000000000006
2019-04-02T21:28:19.61554Z,static_6_02,70B3D54993EAD469,eui-0000024b08030186,68,867.5,SF7BW125,4/5,-105,-1.5,4.18
2019-04-02T21:28:19.606956606Z,static_6_02,70B3D54993EAD469,iotlab-rpi-03,68,867.5,SF7BW125,4/5,-81,6.5,4.18
2019-04-02T21:32:03.209043Z,static_6_01,70B3D5499A33FCC9,eui-0000024b08030186,51,867.5,SF9BW125,4/5,-93,8,4.1739999999999995
2019-04-02T21:32:03.195822195Z,static_6_01,70B3D5499A33FCC9,iotlab-rpi-03,51,867.5,SF9BW125,4/5,-57,8.75,4.1739999999999995
2019-04-02T21:35:52.904197904Z,static_6_03,70B3D549972EC2DC,iotlab-rpi-03,51,867.9,SF9BW125,4/5,-59,10,4.1240000000000006
2019-04-02T21:35:52.911205Z,static_6_03,70B3D549972EC2DC,eui-0000024b08030186,51,867.9,SF9BW125,4/5,-95,11.2,4.1240000000000006
