timestamp;station_id;station_latit;station_longit;temp_3m;temp_30m;wind_speed;wind_direction;wind_sector;rain_quantity
1552867200;TMCH04;50.4289;4.4587;2.25;1.75;3.79;241;OSO;0
1552870800;TMCH04;50.4289;4.4587;2;1.7;3.64;241;OSO;0
1552874400;TMCH04;50.4289;4.4587;2.3;1.95;3.8;234.5;OSO;0
1552878000;TMCH04;50.4289;4.4587;3.1;2.55;3.51;244.5;OSO;0
1552881600;TMCH04;50.4289;4.4587;3.35;2.8;3.18;245;OSO;0
1552885200;TMCH04;50.4289;4.4587;3.45;2.95;2.68;250;OSO;0
1552888800;TMCH04;50.4289;4.4587;3.65;3.1;2.82;257.5;OSO;0
1552892400;TMCH04;50.4289;4.4587;4.5;3.8;2.96;257.5;OSO;0
1552896000;TMCH04;50.4289;4.4587;5.95;4.8;2.92;276;ONO;0
1552899600;TMCH04;50.4289;4.4587;7.05;5.7;3.25;279.5;ONO;0
1552903200;TMCH04;50.4289;4.4587;8.65;7.45;3.41;293;ONO;0
1552906800;TMCH04;50.4289;4.4587;9.15;7.85;3.15;285;ONO;0
1552910400;TMCH04;50.4289;4.4587;9.55;7.8;3.08;276;ONO;0
1552914000;TMCH04;50.4289;4.4587;5.35;4.35;2.57;313.5;ONO;1.6
1552917600;TMCH04;50.4289;4.4587;5.9;5.6;1.5;243;OSO;0
1552921200;TMCH04;50.4289;4.4587;5.65;5.15;3.59;307.5;ONO;0
1552924800;TMCH04;50.4289;4.4587;5.15;5.1;1.33;306.5;ONO;1.2
1552928400;TMCH04;50.4289;4.4587;5.5;5.55;1.41;260.5;OSO;0
1552932000;TMCH04;50.4289;4.4587;4.65;4.8;0.93;247;OSO;0
1552935600;TMCH04;50.4289;4.4587;3.95;4.3;0.69;255;OSO;0
1552939200;TMCH04;50.4289;4.4587;3.45;3.75;0.33;260.5;OSO;0
1552942800;TMCH04;50.4289;4.4587;2.55;3.5;0.25;242;OSO;0
1552946400;TMCH04;50.4289;4.4587;1.8;2.35;0.33;259.5;OSO;0
1552950000;TMCH04;50.4289;4.4587;1.35;2;0.08;165;SSE;0
