Données météo à la station TMCH04 pour la période du lundi 25 février 2019 au dimanche 3 mars 2019
date,heure UTC,ref_mesure,61101-30,61101-50,61102-30,61102-50,62101-3,62101-8,62101-24,62101-30,62101-48,62101-80,62101-114,65102-3,dir_vent
25-02-2019,01,20190225,0.88,-9999,87.00,-9999,5.45,-9999,-9999,6.75,-9999,-9999,-9999,0.00,ENE
25-02-2019,02,20190225,0.27,-9999,138.50,-9999,4.35,-9999,-9999,6.40,-9999,-9999,-9999,0.00,SSE
25-02-2019,03,20190225,0.58,-9999,102.00,-9999,4.00,-9999,-9999,5.75,-9999,-9999,-9999,0.00,ESE
25-02-2019,04,20190225,0.50,-9999,101.50,-9999,3.50,-9999,-9999,5.50,-9999,-9999,-9999,0.00,ESE
25-02-2019,05,20190225,1.21,-9999,86.00,-9999,3.75,-9999,-9999,5.15,-9999,-9999,-9999,0.00,ENE
25-02-2019,06,20190225,0.58,-9999,96.00,-9999,2.80,-9999,-9999,4.70,-9999,-9999,-9999,0.00,ESE
25-02-2019,07,20190225,0.36,-9999,113.00,-9999,2.40,-9999,-9999,3.80,-9999,-9999,-9999,0.00,ESE
25-02-2019,08,20190225,0.09,-9999,195.50,-9999,2.75,-9999,-9999,3.95,-9999,-9999,-9999,0.00,SSO
25-02-2019,09,20190225,0.23,-9999,133.50,-9999,5.70,-9999,-9999,7.20,-9999,-9999,-9999,0.00,ESE
25-02-2019,10,20190225,0.95,-9999,93.50,-9999,10.30,-9999,-9999,10.15,-9999,-9999,-9999,0.00,ESE
25-02-2019,11,20190225,1.14,-9999,90.50,-9999,13.05,-9999,-9999,12.70,-9999,-9999,-9999,0.00,ESE
25-02-2019,12,20190225,1.37,-9999,58.00,-9999,15.20,-9999,-9999,14.70,-9999,-9999,-9999,0.00,ENE
25-02-2019,13,20190225,1.76,-9999,56.00,-9999,15.95,-9999,-9999,15.35,-9999,-9999,-9999,0.00,ENE
25-02-2019,14,20190225,1.93,-9999,78.50,-9999,16.85,-9999,-9999,16.20,-9999,-9999,-9999,0.00,ENE
25-02-2019,15,20190225,1.95,-9999,62.00,-9999,17.40,-9999,-9999,16.75,-9999,-9999,-9999,0.00,ENE
25-02-2019,16,20190225,1.65,-9999,38.00,-9999,17.30,-9999,-9999,16.90,-9999,-9999,-9999,0.00,NNE
25-02-2019,17,20190225,2.34,-9999,34.00,-9999,16.30,-9999,-9999,15.90,-9999,-9999,-9999,0.00,NNE
